title,summary,starring,director,genre
 Time for Them to Come Home for Christmas ,"""During the holidays, a woman with amnesia catches a ride with her handsome nurse to investigate the only clue to her identity.""",""" Jessy Schram, Brendan Penny, Lochlyn Munro, Brendon Zub""",Peter Benson ,Romance
One December Night ,"""Two music managers must put their history aside to oversee the televised reunion performances of their rock star fathers with a fractured past.""",""" Peter Gallagher, Bruce Campbell, Eloise Mumford, Brett Dalton""",Clare Niederpruem ,"""Family, Music"""
Five More Minutes ,"""Follows the story of Clara, who wishes she had more time with her late grandfather at Christmas. Her holiday wish seems to come true as she comes across his journal and looks back on her time with him.""","""Nikki Deloach, David Haydn-Jones, Sherry Miller, Alexander Jones""",Linda-Lisa Hayter ,Romance
Christmas Tree Lane ,"""Meg wants to save her neighborhood from getting demolished. She then discovers that Nate has other plans. Can she turn Nate's heart toward Christmas?""","""Alicia Witt, Andrew W. Walker, Drake Hogestyn, Briana Price""",Steven R. Monroe ,"""Comedy, Drama, Music"""
Once Upon a Christmas Miracle,"""This holiday romance is based on the incredible story about organ donor Chris Dempsey and recipient Heather Krueger, who were brought into one another's lives by a transplant surgery that led to a miraculous romance.""","""Aimee Teegarden, Brett Dalton, Lolita Davidovich, Cassandra Potenza""",Gary Yates,"""Drama, Romance"""
A Godwink Christmas: Miracle of Love,"""Brought together by community service, Eric and Joy find new purpose at Christmas. As they help a family rebuild their home, coincidences and a medical miracle lead them to believe in destiny.""","""Katherine Barrell, Alberto Frezza, Josh Ssettuba, Faith Wright""",Heather Hawthorn Doyle ,Romance
Time for Me to Come Home for Christmas,"""A Hallmark Movies & Mysteries original movie. When strangers Cara & Heath find themselves stranded before Christmas, they embark on an unexpected journey that may give each of them the miracles they've been hoping for and a chance at love.""","""Josh Henderson, Megan Park, Lindsay Maxwell, Paul McGillion""",David Winning,"""Drama, Music, Romance"""
Christmas in My Heart ,"""Violinist Beth returns home after the recent death of her mother and tutors the daughter of a reclusive country music star to prepare her for the upcoming holiday concert.""","""Heather Hemmens, Luke Macfarlane, Maria Nash, Larry Day""",Pat Kiely ,Romance
The Christmas Promise,"""A woman whose fiancé is killed during the Christmas season gets to know the carpenter she hired to finish their new home so she can sell it. Meanwhile, a text she sent to her fiancé's old number pouring out her grief is answered.""",""" Torrey DeVitto, Dylan Bruce, Patrick Duffy, Giles Panton""",Fred Gerber ,Drama
A Mrs. Miracle Christmas ,"""When a family faces loneliness and loss of faith, Mrs. Miracle swoops in to renew their Christmas Spirit, and they experience a holiday of heavenly proportions.""","""Caroline Rhea, Kaitlin Doubleday, Steve Lund, Paula""",Janet D. Munro,"""Drama, Family, Romance"""
Time for Us to Come Home for Christmas,"""Five guests are mysteriously invited to an inn to celebrate Christmas. With the help of the owner Ben, Sarah discovers that an event from the past may connect them and change their lives forever.""","""Lacey Chabert, Stephen Huszar, Lini Evans, Leon""",David Winning,Romance
A Merry Christmas Match,"""Corey who works in her mom's antique shop, puts on a Christmas pageant in honor of her late father. When a man named Ryder visits her store, she wonders if she should have left town to follow her dream of becoming a theater director.""","""Ashley Newbrough, Kyle Dean Massey, Lindsey Gort, John DeLuca""",Jake Helgren,"""Drama, Romance"""
A Glenbrooke Christmas,"""As Christmas nears, heiress Jessica Morgan seizes what seems like her last chance to experience a relaxed Christmas and heads off to the small town of Glenbrooke, where she meets a handsome fireman.""","""Autumn Reeser, Antonio Cupo, Lisa MacFadden, Beau Daniels""",David I. Strasser ,"""Drama, Romance"""
"""I'll Be Home for Christmas ""","""Jackie Foster (Suvari), is a dynamic Assistant District Attorney and single mom. But when Jackie's estranged dad, Jack (Brolin), a gruff retired police officer, unexpectedly shows up at her door, they will be forced to confront old wounds.""","""James Brolin, Mena Suvari, Giselle Eisenberg, John Reardon""",James Brolin ,"""Drama, Family, Romance"""
A Song for Christmas,"""Country music's latest ""It Girl,"" Adelaide Kay, has a hit single and is linked with a hot star. She should be overjoyed, but dislikes pretending she's in love. Even worse, her manager doesn't want her to write her own songs anymore.""","""Becca Tobin, Kevin McGarry, Kendra Leigh Timmins, Paula Boudreau""",Rich Newey,"""Drama, Romance"""
Christmas Under the Stars ,"""A Christmas-tree lot helps two people rediscover their holiday spirit.""","""Jesse Metcalfe, Autumn Reeser, Clarke Peters, Anthony Bolognese""",Allan Harmon,"""Drama, Romance"""
Project Christmas Wish,"""For years Lucy has played Santa in her small-town community. As she grants a little girl's wish for a ""Christmas like it used to be,"" she unexpectedly finds her own wishes coming true.""","""Amanda Schull, Travis Van Winkle, Averie Peters, Amy Groening""",Jeff Beesley,"""Drama, Family, Romance"""
Journey Back to Christmas,"""A WWII era nurse is transported in time to 2016 and meets a man who helps her discover the bonds of family and that the true meaning of Christmas is timeless.""","""Candace Cameron Bure, Oliver Hudson, Brooke Nevin, Meghan Heffern""",Mel Damski ,"""Drama, Family, Fantasy"""
The Charm Bracelet ,"""A jewelry designer finds a charm bracelet and teams up with a magazine reporter to locate its rightful owner by Christmas Eve.""","""Ashley Greene, Brendan Penny, Britt Irvin, Barclay Hope""",Rich Newey ,Romance
Angel Falls: A Novel Holiday,"""A book editor must work with a former rival to help a potential writer find her way. He reminds all of them about the Christmas spirit and the value of community.""",""" Jen Lilley, Carlo Marks, Eric Close, Rachael Crawford""",Jonathan Wright ,"""Fantasy, Romance"""
"""A Godwink Christmas: Second Chance, First Love ""","""After 15 years, a single father moves home from Hawaii with his two sons, and through a series of coincidences--or Godwinks--ends up stuck in traffic next to his high school sweetheart.""","""Brooke D'Orsay, Sam Page, Michele Scarabelli, Rhys Slack""",Heather Hawthorn Doyle ,"""Drama, Family, Romance"""
"""Sense, Sensibility & Snowmen""","""Ella Dashwood (Erin Krakow) and her sister Marianne (Kimberley Sustad) are huge Christmas enthusiasts and own a party-planning business. One of their new clients is a toy company and they don't see eye-to-eye with Edward Ferris (Luke Macfarlane), the company's C.E.O.""","""Erin Krakow, Luke Macfarlane, Kimberley Sustad, Jason McKinnon""",David Winning,Romance
Small Town Christmas,"""A high-flying female novelist from New York takes a trip to the small town that inspired her latest best-seller.""","""Ashley Newbrough, Kristoffer Polaha, Preston Vanderslice, Bailey Skodje""",Maclain Nelson,"""Drama, Romance"""
Time for You to Come Home for Christmas,"""A recent widow travels with her son to her Virginia hometown for Christmas. On the way they meet a man who is heading to the same destination. As they continue to spend time together, the pair grows closer.""",""" Alison Sweeney, Lucas Bryant, Kiefer O'Reilly, Britt Irvin""",Terry Ingram,"""Drama, Romance"""
A Godwink Christmas,"""A woman who accepts her boyfriend's marriage proposal is invited to her aunt's home for Christmas and develops romantic feelings for an inn owner.""","""Kimberley Sustad, Paul Campbell, Kathie Lee Gifford, Giles Panton""",Michael Robison  ,"""Drama, Romance"""
Holly & Ivy ,"""A contractor helps a woman renovate a house so she can adopt a sick neighbor's two children.""","""Janel Parrish, Jeremy Jordan, Marisol Nichols, Sadie Coleman""","""Erica Dunton ""","""Drama, Family, Romance"""
Return to Christmas Creek,"""With Christmas approaching, a career-focused Chicago app developer returns to her small hometown to rediscover the meaning of Christmas. There she reunites with her estranged uncle and her childhood best friend, who she begins falling for.""","""Tori Anderson, Stephen Huszar, Steven Weber, Kari Matchett""",Don McBrearty ,"""Drama, Romance"""
Christmas in Montana,"""Before the holidays, Sara goes to Montana to help a man save his ranch.""",""" Kellie Martin, Colin Ferguson, Ava Preston, Art Hindle""",T.W. Peacocke,"""Drama, Romance"""
A Christmas to Remember ,"""A harsh TV personality needs a break from her own life, so she hops into a car and drives to a small town mountain retreat. On her way there, a blizzard veers her off the road and she crashes. When she comes to, she has complete amnesia and a friendly passerby takes her in.""","""Mira Sorvino, Cameron Mathison, Jesse Filkow, Bailey Skodje""",David Weaver,Romance
The Perfect Christmas Present,"""Tom is called Mr. Christmas due to his ability to determine the perfect Christmas gift for someone, befitting their personality.""",""" Sam Page, Tara Holt, Sam Guinan-Nyhart, Emily Peterson""",Blair Hayes ,"""Drama, Romance"""
